Timestamp,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Battery Voltage,Total Current,Total Consumption,Signal Strength
16_58_53_211823,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,25.36,45.62,1,224.68,0.0,24.93,24.93,224.68,0.0,-102
16_58_53_216841,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,0,0.0,0.0,25.35,45.69,0,225.15,0.0,24.98,24.98,225.15,0.0,-114
16_58_53_222143,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,0,0.0,0.0,25.35,45.69,0,225.15,0.0,24.98,24.98,225.15,0.0,-126
16_58_53_225166,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.55,0,0.0,0.0,25.06,45.65,0,224.83,0.0,24.94,24.94,224.83,0.0,-118
16_58_53_229775,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,25.35,45.69,0,225.1,0.0,24.97,24.97,225.1,0.0,-115
16_58_53_235759,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.52,1,0.02,0.0,25.31,45.66,0,224.93,0.0,24.96,24.96,224.95,0.0,-114
16_58_53_240748,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.52,1,0.02,0.0,25.31,45.66,0,224.93,0.0,24.96,24.96,224.95,0.0,-114
16_58_53_245833,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,25.35,45.59,0,224.63,0.0,24.92,24.92,224.63,0.0,-111
16_58_53_248350,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,0,0.0,0.0,25.09,45.71,0,225.07,0.0,24.96,24.96,225.07,0.0,-106
16_58_53_253741,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.62,0,0.0,0.0,25.38,45.63,0,224.83,0.0,24.95,24.95,224.83,0.0,-106
16_58_53_259717,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.62,0,0.0,0.0,25.38,45.63,0,224.83,0.0,24.95,24.95,224.83,0.0,-108
