Timestamp,Seconds from start,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 1 Input Signal,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Drive ESC 2 Input Signal,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Weapon ESC Input Signal,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Arm ESC Input Signal
09_18_14_926014,0.654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_14_926014,0.654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,388,37730,0,0,0,-1,-1,-1,-1,-1,-1,-1
09_18_14_926014,0.654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,388,37730,0,0,0,-1,-1,-1,-1,-1,-1,-1
09_18_14_926014,0.654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_14_926014,0.654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_14_926014,0.654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_14_926014,0.654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_183446,0.912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
09_18_15_183446,0.912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_251652,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_267285,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_377844,1.106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_487287,1.216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_550803,1.279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_598442,1.327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_707727,1.436,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_819062,1.547,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_920675,1.649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_15_983171,1.711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_030042,1.758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_123795,1.852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_244382,1.973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_354227,2.083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_465174,2.193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_528061,2.256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_574932,2.303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_670151,2.398,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_779514,2.508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_876075,2.604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_16_985436,2.714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_001063,2.729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_104247,2.833,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_219559,2.948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_314036,3.042,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_430200,3.158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_482259,3.211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_592269,3.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_639141,3.367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_759668,3.488,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_871923,3.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_934416,3.663,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_17_996907,3.725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_18_109194,3.837,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_18_218849,3.947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_18_313061,4.041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_18_376278,4.105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_18_423882,4.152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_18_533231,4.262,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
09_18_18_626968,4.355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
