Timestamp,Seconds from start,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 1 Input Signal,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Drive ESC 2 Input Signal,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Weapon ESC Input Signal,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Arm ESC Input Signal
17_11_25_763198,0.572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_25_821510,0.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_25_849028,0.658,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_25_984874,0.794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_007809,0.816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_129349,0.938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_257609,1.066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_268748,1.077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_382153,1.191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_500760,1.309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_570647,1.379,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_636411,1.445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_746826,1.555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_790914,1.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_26_910443,1.719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_029996,1.839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_100448,1.909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_156841,1.965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_273316,2.082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_379742,2.188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_451988,2.261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_506101,2.315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_660041,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_729978,2.539,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_790974,2.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_27_903416,2.712,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_021106,2.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_088098,2.897,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_147094,2.956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_265649,3.074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_342643,3.151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_399038,3.208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_550690,3.359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_622804,3.431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_680039,3.489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_809973,3.619,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_875478,3.684,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_28_927783,3.736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_044053,3.853,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_151078,3.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_255342,4.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_277339,4.086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_431406,4.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_501408,4.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_557780,4.366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_668320,4.477,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,63,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_797017,4.606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_813017,4.622,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_29_921369,4.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_035951,4.845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_090506,4.899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_219527,5.028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_292388,5.101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_347500,5.156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_473924,5.283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_510034,5.319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_651209,5.46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_759149,5.568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_788142,5.597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_30_901599,5.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_31_021498,5.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_31_097091,5.906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
