Timestamp,Seconds from start,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 1 Input Signal,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Drive ESC 2 Input Signal,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Weapon ESC Input Signal,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Arm ESC Input Signal
08_39_25_230831,0.653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
08_39_25_230831,0.653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
08_39_25_230831,0.653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
08_39_25_230831,0.653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
08_39_25_230831,0.653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
08_39_25_238850,0.661,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
08_39_25_510104,0.932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
08_39_25_510104,0.932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
08_39_25_510104,0.932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,0,0,25,-1,-1,-1,-1,-1,-1,-1
08_39_25_575503,0.997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,25,-1,-1,-1,-1,-1,-1,-1
